band_id,observation_id,band_name,band_value
307112,427037,RED,0.45966403428630453
418414,737423,BLUE,0.7702945508783021
825533,455786,RED,0.32001010809961944
947072,345386,RED,0.6492308901299816
674936,410655,RED,0.667741684358301
316019,214856,RED,0.1949969372549881
386865,106287,BLUE,0.17210222905257627
246834,658997,NIR,0.7331286105463473
278069,495758,GREEN,0.16803908996424588
209886,173464,NIR,0.28512962490691884
529115,211563,BLUE,0.8832871204444743
228148,184737,NIR,0.8457991445060165
457999,514017,GREEN,0.6666112118530018
580881,640882,NIR,0.5580346379286821
320869,547852,RED,0.8571921510473884
925371,901114,GREEN,0.33783771114106864
791734,996786,BLUE,0.2289174568555844
938031,971602,BLUE,0.596345800342198
304172,420975,GREEN,0.5473807433733199
530157,847264,GREEN,0.19242204103072955
664333,487992,BLUE,0.1987994602697959
482911,161466,BLUE,0.7555506050397635
878778,832120,NIR,0.35370685456812223
404732,969348,RED,0.7332145639418461
895816,634274,BLUE,0.8621495867455227
684049,800470,RED,0.7054043674444924
214255,944992,BLUE,0.856535428200069
269055,881243,RED,0.7653875979279497
392183,711833,RED,0.5060297907704239
778104,941772,RED,0.7276750864319358
995852,262431,GREEN,0.7759765888976597
784072,710350,NIR,0.5152403027871342
440295,241811,NIR,0.0903182533647597
225486,407099,NIR,0.29920665801822444
941792,124418,RED,0.18111142441506045
961795,154532,GREEN,0.7566841619060646
812174,785967,BLUE,0.3849071453093802
152256,944992,BLUE,0.7329637689193095
209192,260167,RED,0.6274605625300399
642370,487992,GREEN,0.5445026251087238
265102,792669,RED,0.43645476735139743
905277,159079,GREEN,0.5977560206131188
123997,913736,RED,0.1582711744073418
598748,734309,RED,0.5601372653956397
162552,982099,GREEN,0.26755048030423856
673206,384363,GREEN,0.80678532439807
658080,120252,BLUE,0.7214387594739535
324720,388915,NIR,0.18341207702329285
501616,188357,GREEN,0.59944284644372
356792,633433,GREEN,0.46452235016771876
827101,113254,NIR,0.08917778354446194
907514,475202,GREEN,0.2218210088647522
295292,317740,RED,0.10240109314994097
875973,871578,RED,0.7902332184627446
694557,350845,GREEN,0.36224848596034526
464526,934961,GREEN,0.24146722962785772
297621,837484,BLUE,0.5411130206301785
370144,614703,RED,0.7251316986875344
177969,126239,NIR,0.8398676997089942
895845,230269,RED,0.8299161177323184
992207,384363,GREEN,0.31420366924713244
883439,923594,RED,0.19777983317873504
923483,560914,RED,0.5913255315071275
112490,378152,BLUE,0.10760919564455987
177383,785967,NIR,0.5575957256980416
427565,818188,NIR,0.6787654554477466
553172,386285,NIR,0.2329796471974166
852269,847594,RED,0.8088825112173484
213683,133539,RED,0.7942707093280131
971738,851178,BLUE,0.18582104525750898
644178,265487,BLUE,0.817388421266551
765233,971602,GREEN,0.3797681364808796
781713,959715,GREEN,0.7707120221906979
261803,939791,RED,0.6032691254566366
967127,986423,NIR,0.8664509090775777
712490,364595,BLUE,0.8082065719745558
264472,982099,NIR,0.5477896905573534
337710,825632,RED,0.511392307205761
606046,710350,BLUE,0.17091830682520168
114000,220797,RED,0.7293737171476775
808945,792046,BLUE,0.3592140564760943
898982,265487,BLUE,0.5763887631012816
224459,112011,BLUE,0.5773366842207912
777570,684554,BLUE,0.4103322082214167
679476,162802,BLUE,0.4318524965881585
684478,497567,NIR,0.750952294429851
530974,104018,BLUE,0.7204492781636082
936380,475202,BLUE,0.38046969301912703
778570,381125,NIR,0.45753500728617624
199396,916533,BLUE,0.11334379607855108
445804,670982,RED,0.176796871381377
682636,996786,GREEN,0.2742908282713895
742214,388915,NIR,0.7333895692489707
852866,219532,BLUE,0.5495778396376436
799813,392451,BLUE,0.4290735701953043
836400,550743,RED,0.09450669119932509
496077,188357,RED,0.31490911786986225
161466,352527,RED,0.22291375006065306
831202,939791,NIR,0.4127588038764827
627361,972601,GREEN,0.3943795461810322
647143,193525,BLUE,0.12686870410481133
916113,614206,NIR,0.2997398701841502
803341,732876,NIR,0.27668155157323826
861035,313706,BLUE,0.49929704429294375
832834,297775,RED,0.5783321277259156
343949,154532,NIR,0.4099750697226272
538905,421936,GREEN,0.5743068018899319
987679,273970,NIR,0.38489081798832286
109816,718518,NIR,0.8776904054132206
718994,978841,RED,0.7745745919329019
960530,568552,RED,0.6347254994433291
140654,420975,GREEN,0.6237758158503947
571866,126239,BLUE,0.6494166908546406
345880,781337,NIR,0.5632676901664362
239133,489103,GREEN,0.13237934408330954
588985,851178,BLUE,0.8043043076021731
969585,634345,GREEN,0.32862710291586705
474011,420975,NIR,0.7990391352761527
865518,173464,BLUE,0.7554106067825767
785450,840780,NIR,0.39037559439971903
597607,658997,BLUE,0.8375894128793225
552234,510175,GREEN,0.7632746570529356
940141,512262,BLUE,0.8886902732058694
496361,992001,GREEN,0.4162124791030969
601705,276794,BLUE,0.22900797862861105
982793,565401,RED,0.4738139434283505
911872,813649,GREEN,0.3931077981577994
255707,349034,GREEN,0.7104987721996138
586012,817496,RED,0.21115106229123076
841158,162802,RED,0.8984053314961623
579877,126239,GREEN,0.7971827104940574
581622,710350,NIR,0.688642103575449
230128,556623,GREEN,0.08367988004409133
598935,714888,BLUE,0.5844282492931098
507934,354298,RED,0.5522758851813462
685710,262431,NIR,0.4926209752357616
390435,830587,RED,0.261779183975262
182665,670982,NIR,0.7118632173648701
931689,936279,NIR,0.25293086359105255
643297,381125,GREEN,0.32985210709921053
744458,971602,BLUE,0.5961045854940621
879199,711406,NIR,0.15675636581157792
949111,961953,RED,0.552714798364478
907965,549375,GREEN,0.16945542554827991
513073,329100,BLUE,0.6045654637848485
196076,842850,BLUE,0.2906314955774467
174255,842850,NIR,0.1245755904011828
770488,794035,RED,0.8433575508696394
654130,162802,GREEN,0.34172074479839026
929091,469632,NIR,0.37096412668448536
160692,386285,BLUE,0.1300004415220311
392874,579110,BLUE,0.708633557135217
923565,754004,RED,0.5308459128361769
643309,711833,BLUE,0.344313270759535
744849,421936,BLUE,0.2752657655168301
145690,701606,NIR,0.10408807460083278
147001,959715,NIR,0.22604998968410173
361906,220797,GREEN,0.08658078548457206
655499,188357,BLUE,0.4087478185043843
694574,998154,GREEN,0.10233837382242472
774901,321707,GREEN,0.41454763676881873
537282,384363,GREEN,0.7330762822072334
245165,913461,NIR,0.6858348915008021
803618,680656,GREEN,0.11371157581130957
508340,837484,RED,0.860537443461231
938602,355785,NIR,0.8808946277804752
890906,190335,RED,0.8146741496432276
410122,948062,RED,0.35712295987770665
309208,399672,BLUE,0.17495439711429278
243344,190335,GREEN,0.33269375189423395
283584,784927,RED,0.8689780383611198
458190,944992,BLUE,0.41624286977436525
406975,796535,NIR,0.31056463021686503
166191,740357,BLUE,0.7579321586202069
259995,161466,BLUE,0.7158933164083398
117739,609188,RED,0.6148867820868202
889032,512184,GREEN,0.12935669947529913
404300,259705,RED,0.8259867224796982
457482,803710,BLUE,0.10447701319637379
707291,944992,NIR,0.8362472625487287
327689,561086,NIR,0.18999415337853776
179186,754004,RED,0.7376532920649747
151172,109312,BLUE,0.8559068960547764
332453,845501,RED,0.5050832049836878
233157,784927,GREEN,0.560719922355351
150174,125312,BLUE,0.5241955689412962
614526,777602,GREEN,0.8166091306226837
707490,541308,BLUE,0.6520732761702079
991404,634345,NIR,0.7602956334340124
118003,124418,NIR,0.43766558440136644
789140,634274,NIR,0.8863601687557227
607959,711833,BLUE,0.8251010851088478
447060,421936,RED,0.5477710677638429
992102,120252,NIR,0.6474600800474009
437956,803710,RED,0.3611702047845695
750250,986423,NIR,0.7290043273089589
176120,278638,RED,0.6441399344540893
512395,251333,RED,0.7119680866646722
301401,219532,BLUE,0.24505111430100446
316600,609188,GREEN,0.2706414266638698
320631,106656,GREEN,0.7384670574196714
583233,941772,RED,0.28914246463772547
773774,568552,NIR,0.11559402336641308
529283,265576,NIR,0.525239760097819
274419,278638,RED,0.38494374109350415
386571,934961,RED,0.43828062280276076
481114,220797,NIR,0.3589280950905737
744149,980947,GREEN,0.09305736836104611
323572,556623,GREEN,0.6145160743316843
864295,856041,BLUE,0.42933756722738026
870789,516542,RED,0.19144280844175532
582052,297775,RED,0.21829365790751626
306752,133539,NIR,0.7771832248024958
872030,109312,BLUE,0.5038390343494275
193526,986255,GREEN,0.6922367950950967
651401,549375,RED,0.690343073653217
882096,360702,NIR,0.30588457130632846
920924,392451,RED,0.8120657031936657
510942,614206,GREEN,0.6824877168680107
131898,368188,GREEN,0.4007628607956542
352143,777602,BLUE,0.8137440784639507
197188,980213,RED,0.5139327693525757
147129,996786,BLUE,0.24375540290148612
881022,986423,GREEN,0.5701273720566431
702100,384679,GREEN,0.35472395980671534
824638,704293,GREEN,0.8879932365216563
980346,161466,NIR,0.24759120617137942
258373,173464,RED,0.7789414834186232
828293,417645,BLUE,0.3923717215840592
915067,126239,NIR,0.8551803023906643
922344,350845,RED,0.5067954425966643
590144,711406,GREEN,0.130243540348368
999503,614703,NIR,0.3732802253112628
545875,658203,BLUE,0.4850011997239689
381976,109312,RED,0.5521272326531281
595221,368188,NIR,0.8977343292053274
847469,770937,BLUE,0.37890536493534593
554903,489103,BLUE,0.47536169328317823
874886,861981,NIR,0.2834716998690368
865455,537496,BLUE,0.6523864481226176
686933,980491,NIR,0.2814477818188534
121372,485299,NIR,0.14390859231358857
404053,980491,NIR,0.29335894830193493
602527,845501,GREEN,0.5050166414754367
622240,837484,BLUE,0.7297352531637303
817032,173464,GREEN,0.622781149451988
120210,861981,RED,0.43556030889090996
315154,996786,RED,0.602771740192156
927154,934961,GREEN,0.4515044325345842
682474,801845,GREEN,0.7693475509742191
241874,836385,NIR,0.8631686725557484
620725,837484,GREEN,0.5428469881954717
267133,532541,GREEN,0.7241626246600076
942860,387291,NIR,0.6089120567824812
963092,916533,GREEN,0.7292139571058065
888457,579110,GREEN,0.2168261684982316
181657,328758,GREEN,0.8972554975668492
121197,861981,NIR,0.832711938811628
114150,770937,NIR,0.4622299118307716
303770,561086,GREEN,0.4191648175872473
251489,133539,RED,0.5301973007249124
955898,265576,RED,0.5177378969620451
837114,743729,RED,0.885394114764948
565216,402730,GREEN,0.4668462901975086
714510,971602,BLUE,0.8131632110971673
164425,801845,GREEN,0.45328042358575943
165540,684554,NIR,0.26042703206846823
281734,556623,BLUE,0.7206006641863242
686331,803710,NIR,0.38978733980652847
318875,980213,BLUE,0.8355113709510157
189441,364595,RED,0.3867719475731112
376958,634345,GREEN,0.3974727108154914
881500,934961,GREEN,0.15499646887628604
343598,956289,GREEN,0.548830199106467
382594,753858,GREEN,0.5851974406340105
598005,658203,GREEN,0.6173285791125539
481795,392451,NIR,0.7085500502099642
406638,219532,RED,0.3261140630125091
100932,795540,RED,0.2776067230911123
331622,104018,GREEN,0.23353754786294112
812844,360863,BLUE,0.2941468158437606
470006,640882,RED,0.4627586014040397
779121,190335,BLUE,0.25917115964467624
377183,701606,NIR,0.5294078665238866
303644,901114,BLUE,0.29805820449654824
715963,740357,BLUE,0.36807406075887883
328706,647044,NIR,0.550819741319275
365378,861886,NIR,0.36711508991888525
554670,402730,NIR,0.6361300509477774
630354,276794,NIR,0.5425859387753831
263226,518247,GREEN,0.10586149200245953
750964,204588,GREEN,0.8929857020501524
254183,732876,NIR,0.4126141480975388
202627,392451,RED,0.48908133597662956
696505,455786,BLUE,0.10836351773879564
998442,402730,BLUE,0.7427617599924785
563878,421936,GREEN,0.8773243708636292
863636,980213,RED,0.6896379265195677
134584,569516,NIR,0.11907678125128088
366614,410655,NIR,0.5074650162387829
986126,871578,GREEN,0.30807519613583734
559813,809957,GREEN,0.8281664217555927
872939,803710,BLUE,0.3765434930280912
587796,518247,NIR,0.562674726614707
303356,813743,BLUE,0.6425413300412476
778924,243775,RED,0.8206112799416583
600306,203774,NIR,0.8294997623442937
195383,113254,RED,0.8386336029886259
921103,650741,NIR,0.47800834379154206
807866,518247,NIR,0.29763437636070056
416396,998154,RED,0.880581027242655
339398,233793,BLUE,0.5773146323864833
950401,853115,BLUE,0.7789884824972133
459954,541308,RED,0.5671987046511389
670395,467174,BLUE,0.2046780383293686
642978,657515,BLUE,0.3682230978311675
862905,173464,BLUE,0.25707909372871507
659713,301966,GREEN,0.7085990868583615
640027,193525,NIR,0.615879656672804
348200,817496,RED,0.620728841371885
470135,836385,NIR,0.885223787418617
797268,800189,NIR,0.6804807368149457
672949,113254,GREEN,0.6969610377293977
796244,857491,NIR,0.6583938816741126
404142,190335,RED,0.3462175775721112
362449,959715,BLUE,0.8418488604340703
706935,567267,GREEN,0.3125631835991439
255141,510175,NIR,0.33121771225086194
156638,124418,BLUE,0.09187899740520389
524124,106656,BLUE,0.8992086585718794
358047,435362,BLUE,0.16226550023683395
761071,149827,NIR,0.6348190908035709
758661,381125,RED,0.10994867324168539
575730,389286,GREEN,0.8656080181841761
782513,455786,NIR,0.2662599472840965
560086,188357,NIR,0.41233724722807796
510948,427037,RED,0.3452199459179389
